Produto,CAS,Descrição,DataSheet
Sebacic dihydrazide,125-83-7;925-83-7,"decanedihydrazide;;Sebacic dihydrazide;Decanedioic acid dihydrazide;Octane-1,8-dicarboxylic acid dihydrazide;Sebacic acid dihydrazide",https://chemicals.logicwebsites.com/data-sheets/5253.pdf
3-Nonanone,925-78-0,Ethyl n-hexyl ketone;nonan-3-one,https://chemicals.logicwebsites.com/data-sheets/5252.pdf
n-Propyl acrylate,925-60-0,"n-Propyl acrylate, (Acrylic acid n-propyl ester);Acrylic acid n-propyl ester;Propyl acrylate",https://chemicals.logicwebsites.com/data-sheets/5251.pdf
Diethyl thioglycolate,925-47-3,"Diethyl 2,2'-thiodiacetate;diethyl 2,2'-sulfanediyldiacetate;dimethyl thioglycolate;2-Mercapto-butyricacidethylester",https://chemicals.logicwebsites.com/data-sheets/5250.pdf
Dipropyl Succinate,925-15-5,"Di-n-propyl succinate, (Succinic acid di-n-propyl ester);Di-n-propyl succinate;Butanedioic acid, dipropyl ester;dipropyl butanedioate",https://chemicals.logicwebsites.com/data-sheets/5247.pdf
3-Dimethylaminoacrylic acid ethyl ester,924-99-2;1117-37-9,"Acrylic acid, 3-(dimethylamino)-, ethyl ester, (E)-;Ethyl trans-3-dimethylaminoacrylate;EthylN,N-dimethylaminoacrylate;ethyl 3-(N,N-dimethylamino)aceylate;ethyl N,N-dimethyl-beta-alaninate;ethyl 3-(dimethylamino)prop-2-enoate;ethyl (2Z)-3-(dimethylamino)prop-2-enoate;ethyl (2E)-3-(dimethylamino)prop-2-enoate;Ethyl 3-(N,N-dimethylamino)acrylate;3-(Dimethylamino)propenoic acid ethyl ester;3-(diathylamino)-2-propen oicacidethylester;Ethyl 3-(dimethylamino)acrylate",https://chemicals.logicwebsites.com/data-sheets/5244.pdf
diisopropyl succinate,924-88-9,Succinic acid diisopropyl ester;dipropan-2-yl butanedioate,https://chemicals.logicwebsites.com/data-sheets/5243.pdf
"methyl 3,3-dimethylacrylate",924-50-5,"3,3-Dimethylacrylic acid methyl ester;3-Methyl-2-butenoic acid methyl ester;Methyl 3-methyl-2-butenoate;Methyl 3-methyl-2-butenoate;3,3-Dimethyl Acrylate;methyl 3-methylbut-2-enoate;Methyl 3,3-Dimethylacrylic acid",https://chemicals.logicwebsites.com/data-sheets/5242.pdf
Ethyl glyoxalate,924-44-7,Ethyl glyoxylate;Glyoxylic acid ethyl ester;Ethyl oxoacetate;Glyoxylic acid ethyl ester;Oxoacetic acid ethyl ester;ethyl oxoacetate;ethyl 2-oxoacetate,https://chemicals.logicwebsites.com/data-sheets/5241.pdf
N-Methylol acrylamide,924-42-5,N-(Hydroxymethyl)acrylamide,https://chemicals.logicwebsites.com/data-sheets/5239.pdf
"1,5-Hexadien-3-ol",924-41-4,"Allyl vinyl carbinol;hexa-1,5-dien-3-ol;(3R)-hexa-1,5-dien-3-ol;(3S)-hexa-1,5-dien-3-ol",https://chemicals.logicwebsites.com/data-sheets/5238.pdf
"Hexadecanoic acid,1,1'-[(1R)-1-[[[(3-amino-1-oxopropoxy)hydroxyphosphinyl]oxy]methyl]-1,2-ethanediyl]ester",923-61-5,"1,2-Dipalmitoyl-sn-glycero-3-phosphoethanolamine;Dipalmitoyl-L-ALPHA-phosphatidyl ethanolamine;(2R)-3-{[(2-aminoethoxy)(hydroxy)phosphoryl]oxy}-2-(hexadecanoyloxy)propyl hexadecanoate;1,2-dipalmitoyl-sn-glycero-3-phospho-ethanolamine;Hexadecanoicacid, (1R)-1-[[[(2-aminoethoxy)hydroxyphosphinyl]oxy]methyl]-1,2-ethanediylester (9CI); Hexadecanoic acid,1-[[[(2-aminoethoxy)hydroxyphosphinyl]oxy]methyl]-1,2-ethanediyl ester, (R)-;Palmitin, 1,2-di-, 2-aminoethyl hydrogen phosphate, L- (8CI);(R)-Dipalmitoylphosphatidylethanolamine; 1,2-Dihexadecanoyl-sn-glycerol-3-phosphorylethanolamine;1,2-Dipalmitoyl-3-sn-phosphatidylethanolamine;1,2-Dipalmitoyl-L-3-phosphatidylethanolamine; 1,2-Dipalmitoyl-L-a-phosphatidylethanolamine;1,2-Dipalmitoyl-sn-glycero-3-phosphatidylethanolamine; 1,2-Dipalmitoyl-sn-glycero-3-phosphatidylethanolamine;1,2-Dipalmitoyl-sn-glycero-3-phosphorylethanolamine;1,2-Dipalmitoyl-sn-glycerol-3-L-a-phosphorylethanolamine; 1,2-Dipalmitoyl-sn-glycerol-3-phosphoethanolamine;1,2-Dipalmitoyl-sn-glycerol-3-phosphorylethanolamine;1,2-Dipalmitoyl-sn-glycerophosphoethanolamine;1,2-Dipalmitoylglycerophosphorylethanolamine; Coatsome ME 6060; DHPE;Dipalmitoyl-L-a-cephalin;Dipalmitoyl-L-a-phosphatidylethanolamine;L-a-Dipalmitoylphosphatidylethanolamine;L-b,g-Dipalmitoyl-a-phosphatidylethanolamine;sn-1,2-dipalmitoylglycerophosphoethanolamine;dipalmitoyl-1-α-phosphatidyl ethanolamine",https://chemicals.logicwebsites.com/data-sheets/5237.pdf
"butane-1,2,4-tricarboxylic acid",923-42-2,"1,2,4-Butanetricarboxylic acid;Butane-1,2,4-tricarboxylic acid",https://chemicals.logicwebsites.com/data-sheets/5236.pdf
Carbamoyl-DL-aspartic acid,923-37-5,Ureidosuccinic acid;N-Carbamyl-DL-aspartic acid Ureidosuccinic acid;(2R)-2-(carbamoylamino)butanedioate;(2S)-2-(carbamoylamino)butanedioate,https://chemicals.logicwebsites.com/data-sheets/5235.pdf
triethylindium,923-34-2,"Indium, triethyl-;Triethylindium",https://chemicals.logicwebsites.com/data-sheets/5234.pdf
DL-Cystine,923-32-0,"Cystine DL-form;3,3'-Dithiobis(2-aminopropanoic acid), dl-;CCRIS 8599;beta,beta'-Dithioalanine, dl-;Cystine, DL-",https://chemicals.logicwebsites.com/data-sheets/5233.pdf
D-lysine,923-27-3,D-Lysine free base,https://chemicals.logicwebsites.com/data-sheets/5232.pdf
"2-Hydroxypropyl methacrylate, mixture of isomers",27813-02-1;923-26-2,"2-Hydroxypropyl methacrylate;methacrylic acid hydroxypropyl ester;Hydroxyethyl Methacrylate;PROPYLENE GLYCOL MONOMETHACRYLATE;beta.-Hydroxypropylmethacrylate;1,2-propanediol,2-methyl,monomethacrylate;1,2-propanediol,monomethacrylate;2-hydroxypropylmethacrylate,mixtureofisomers;2-methyl-2-propenoicaci2-hydroxymethylethylester;2-Propenoicacid,2-methyl-,monoesterwith1,2-propanediol;methacrylicacid,esterwith1,2-propanediol;2-Propenoic acid, 2-methyl-, 2-hydroxypropyl ester;Hydroxypropyl methacrylate;1-hydroxypropan-2-yl 2-methylprop-2-enoate;(2S)-2-hydroxypropyl 2-methylprop-2-enoate;(2R)-2-hydroxypropyl 2-methylprop-2-enoate;1-hydroxypropyl 2-methylprop-2-enoate;2-Hydroxypropylmethacrylate;Hydroxyproyl methacrylate",https://chemicals.logicwebsites.com/data-sheets/5231.pdf
D-Alanyl-D-alanine,923-16-0,D-Ala-D-Ala,https://chemicals.logicwebsites.com/data-sheets/5230.pdf
dl-aspartic acid potassium crystalline,14434-35-6;923-09-1,"DL-Aspartic acid, potassium salt;Potassium hydrogen DL-aspartate;Potassium DL-aspartate;potassium (2S)-2-aminobutanedioate;Dl-Aspartic Acid Potassium Salt",https://chemicals.logicwebsites.com/data-sheets/5229.pdf
DL-Bromosuccinic acid,923-06-8,Bromobutanedioic acid;Bromosuccinic Acid;2-bromobutanedioic acid;(2R)-2-bromobutanedioate;(2S)-2-bromobutanedioate,https://chemicals.logicwebsites.com/data-sheets/5228.pdf
Methyl glyoxylate,922-68-9,"GLYOXYLIC ACID METHYL ESTER;Acetic acid, oxo-, methyl ester;oxo-aceticacimethylester;2-(2-methyoxy phenoxy) ethylamine HCL;L-MENTHYL GLYOXYLATE HYDRATE ( MGH) STAGE I;2-(2-Methoxphenoxyl)ethylamine;Methyl 2-oxoacetate;methyl oxoacetate",https://chemicals.logicwebsites.com/data-sheets/5226.pdf
Methyl propiolate,922-67-8,"Methyl propiolate,(Propiolic acid methyl ester);Methyl acetylenecarboxylate;Propiolic acid methyl ester;Methypropiolate;methyl prop-2-ynoate;Propynoic acid methyl ester",https://chemicals.logicwebsites.com/data-sheets/5225.pdf
Butylmagnesiumbromide,922-66-7,sec-Butylmagnesium bromide;magnesium bromide butan-2-ide (1:1:1),https://chemicals.logicwebsites.com/data-sheets/5224.pdf
"1,4-pentadien-3-ol",922-65-6,"Penta-1,4-dien-3-ol;CCRIS 8963;1,4-Pentadiene-3-ol",https://chemicals.logicwebsites.com/data-sheets/5223.pdf
2-Methylenebutanal,922-63-4,2-Ethylacrolein;2-methylidenebutanal;2-Ethylacrylaldehyde,https://chemicals.logicwebsites.com/data-sheets/5222.pdf
Creatine phosphate disodium salt,922-32-7,"Disodium Creatinephosphate;N-[Imino(phosphonoamino)methyl]-N-methylglycine, disodium salt;Creatine phosphate sodium salt;{[(1E)-amino(phosphonatoamino)methylidene](methyl)ammonio}acetate;Creatine Phosphate Sodium;Creatine phosphoric acid,sodium salt;Creatine Ester Sodium Phosphate;Creatine Phosphate Disodium;Disodium Creatine Phosphate",https://chemicals.logicwebsites.com/data-sheets/5220.pdf
Methyl 2-(chloromethyl)acrylate,922-15-6,2-(Chloromethyl)acrylic acid methyl ester;methyl 2-(chloromethyl)prop-2-enoate,https://chemicals.logicwebsites.com/data-sheets/5219.pdf
L-glucose,921-60-8,"L-Glucose;4-01-00-04327 (Beilstein Handbook Reference);BRN 1724626;Glucose, (L)-isomer;L(-)-Glucose;alpha-L-glucopyranose;beta-L-glucopyranose",https://chemicals.logicwebsites.com/data-sheets/5218.pdf
L(+)tartaric acid dipotassium,921-53-9,dipotassium tartrate;L-Tartaric acid dipotassium salt;potassium tartrate,https://chemicals.logicwebsites.com/data-sheets/5217.pdf
diisopropylphosphoramidous dichloride,921-26-6,bis(1-methylethyl)phosphoramidous dichloride,https://chemicals.logicwebsites.com/data-sheets/5215.pdf
"1,1,3-trichloro-2-propanone",921-03-9,"1,1,3-trichloro-2-propanon;1,1,3-TRICHLOROACETONE;1,1,3-TCA;1,1,3-TRICHLOROACETONE, WACKER QUALITY;2-Propanone, 1,1,3-trichloro-;1,1,3-TRICHLOROPROPANONE;1,1,3-trichloropropan-2-one",https://chemicals.logicwebsites.com/data-sheets/5214.pdf
D-cysteine,921-01-7,"D-cysteine free base crystalline;D-cycsteine;(R)-2-Amino-3-mercaptopropanoic acid;(R)-Cysteine;Propanoic acid, 2-amino-3-mercapto-,(R)-",https://chemicals.logicwebsites.com/data-sheets/5213.pdf
"N,1,1,1-tetramethyl-N-(trimethylsilyl)silylamine",920-68-3;134340-00-4;37074-17-2,"bis(trimethylsilyl)methylamine;bis(trimethylsilyl)-methylamine;N,N-Bis(trimethylsilyl)methylamine;HEPTAMETHYLDISILAZANE;1,1-bis(trimethylsilyl)methanamine;HPMDS",https://chemicals.logicwebsites.com/data-sheets/5212.pdf
"1,1,1,3,3,3-Hexafluoro-2-propanol",920-66-1,"1,1,1,3,3,3-Hexafluoroisopropanol;HFIP;2H-hexafluoro-2-propanol;1,1,1,3,3,3-Hexafluoro propan-2-ol;1,1,1,3,3-Hexafluoro-2-propanol;Hexafluoroisopropanol;2H-Hexafluoroisopropano;Hexafluoroisopropyl alcohol;1,1,1,2,3,3-hexafluoropropan-2-ol;(2,3,4,5,6-pentafluorophenyl) pyrimidine-5-carboxylate;Ethanol, 2,2,2-trifluoro-1-(trifluoromethyl)-;Bis(trifluoromethyl)methanol;2H-Hexafluoroisopropanol;2,2,2-Trifluoro-1-(trifluoromethyl)ethanol;2-Propanol, hexafluoro-",https://chemicals.logicwebsites.com/data-sheets/5211.pdf
Methacryloyl chloride,920-46-7,2-Methylpropenoyl chloride;2-methylprop-2-enoyl chloride,https://chemicals.logicwebsites.com/data-sheets/5210.pdf
Isopropylmagnesium Bromide,920-39-8,"Magnesium, bromo(1-methylethyl)-;Bromo(1-methylethyl)magnesium;magnesium bromide propan-2-ide (1:1:1);bromo(propan-2-yl)magnesium;propan-2-ylmagnesium(1+) bromide",https://chemicals.logicwebsites.com/data-sheets/5209.pdf
2-Chloroacrylonitrile,920-37-6,"2-Chloro-2-propenenitrile;4-02-00-01484 (Beilstein Handbook Reference);BRN 0773744;CCRIS 6869;Chloroacrylonitrile;NSC 511714;2-Propenenitrile, 2-chloro-;Acrylonitrile, 2-chloro-;2-chloroprop-2-enenitrile",https://chemicals.logicwebsites.com/data-sheets/5208.pdf
demeton-S-methyl,919-86-8,"S-2-ethylthioethyl dimethyl phosphorothioate;S-[2-(ethylsulfanyl)ethyl] O,O-dimethyl phosphorothioate",https://chemicals.logicwebsites.com/data-sheets/5205.pdf
3-Aminopropyltriethoxysilane,919-30-2,AMEO;(3-Aminopropyl)triethoxysilane;DYNASYLAN 1211;DYNASYLAN AMEO;3-Aminopropylmethyldimethoxysilane;3-Triethoxysilylpropylamine;Silane Coupling Agent KH-550;Silane Coupling Agent A-1100;γ-Aminopropyltriethoxysilane;Coupling Agent-550;BHCOUP-550;3-(triethoxysilyl)propan-1-amine;gamma-aminopropyltriethoxysilane;Aminopropyltrimethoxysilane;Aminopropyltriethoxysilane;(3-Aminopropyl)-triethoxysilane;silquest A-1100;KH-550γ-Aminopropyltriethoxysilane;3-Aminopropltriethoxysilane,https://chemicals.logicwebsites.com/data-sheets/5203.pdf
ortho-n-Valeric Acid Triethyl Ester,919-29-9,"Triethyl orthovalerate;1,1,1-triethoxypentane;TEOV",https://chemicals.logicwebsites.com/data-sheets/5202.pdf
Acetylphosphonicaciddiethylester; 96%,919-19-7,Acetylphosphonic acid diethyl ester;diethyl acetylphosphonate,https://chemicals.logicwebsites.com/data-sheets/5201.pdf
Lithium citrate,919-16-4,,https://chemicals.logicwebsites.com/data-sheets/5200.pdf
"1,6-dibromododecafluorohexane",918-22-9,"1,6-Dibromoperfluorohexane;1,6-Dibromodecafluorohexane~Perfluoro-1,6-dibromohexane;1,6-dibromo-1,1,2,2,3,3,4,4,5,5,6,6-dodecafluorohexane",https://chemicals.logicwebsites.com/data-sheets/5198.pdf
"1,1,1,4,4,4-hexafluoro-2,3-bis(trifluoromethyl)butane-2,3-diol",918-21-8,"1,1,1,4,4,4-Hexafluoro-2,3-bis(trifluoromethyl)butane-2,3-diol;2,3-Butanediol, 1,1,1,4,4,4-hexafluoro-2,3-bis(trifluoromethyl)-;HEXAFLUORO-2,3-BIS(TRIFLUOROMETHYL)BUTANE-2,3-DIOL",https://chemicals.logicwebsites.com/data-sheets/5197.pdf
"N,N-Dimethyl methanesulfonamide",918-05-8,"NN-Dimethylmethanesulfonamide;N,N-Dimethylmethanesulphonamide;N,N-dimethylmethanesulfonamide",https://chemicals.logicwebsites.com/data-sheets/5196.pdf
Trichloroacetone,918-00-3,"1,1,1-Trichloroacetone;1,1,1-trichloropropan-2-one",https://chemicals.logicwebsites.com/data-sheets/5195.pdf
"3,3-Dimethyl-1-butyne",917-92-0,"3-3'-Dimethyl-1-Butyne;(CH3)3CCequivCH;3,3,3-Trimethylpropyne;3,3-dimethyl-but-1-yne;3,3-Dimethylbutyne ;1-BUTYNE, 3,3-DIMETHYL-;1,2-DIMETHYL-1,4-CYCLOHEXADIENE ;3,3-DIMETHYLBUTYNE-1;TERT-BUTYLACETYLENE;T-BUTYL ACETYLENE;3,3-DIMETHYL-1-BUTYNE(INTERMEDIATE OF TERBINAFINE);1-Butyne, 3,3-dimethyl-(6CI,8CI,9CI);3.3-DIMETHYL-1-BUTYNE;TERT-BUTYLETHYNE;3,3-dimethylbut-1-yne",https://chemicals.logicwebsites.com/data-sheets/5194.pdf
lanthanum acetate,917-70-4,-LANTHANUM(III) ACETATE;LANTHANUM(+3)ACETATE;LANTHANUM ACETATE,https://chemicals.logicwebsites.com/data-sheets/5193.pdf
Sodium cyanate,917-61-3,Sodiumcyanatewhitepowder;Sodium cyanate (Technical Grade);Sodium isocyanate;sodium (oxomethylidene)azanide,https://chemicals.logicwebsites.com/data-sheets/5192.pdf
Potassium Ethoxide,917-58-8,"potassium ethanolate;Potassium ethylate;Ethanol,Potassiumsalt",https://chemicals.logicwebsites.com/data-sheets/5191.pdf
Methyllithium,917-54-4,Methyllithium solution;Methyllithium lithium bromide complex solution;MethyllithiumcomplexedwithlithiumbromideinethyletherMc;ML-DEE,https://chemicals.logicwebsites.com/data-sheets/5190.pdf
"5,10,15,20-tetraphenylporphyrin",917-23-7,"tetraphenylporphine metal free;tetraphenylporfyrin;21h,23h-porphine, 5,10,15,20-tetraphenyl-;23h-porphine,5,10,15,20-tetraphenyl-21;5,10,15,20-tetraphenyl-21h,23h-prophine;alpha,beta,gamma,delta-tetraphenylporphine;meso-tetraphenylporphyrine;porphine, 5,10,15,20-tetraphenyl-;rarechem as sa 0001;tetraphenylporphyrin;meso-tetraphenylporphyrin;tetraphenylporphine",https://chemicals.logicwebsites.com/data-sheets/5189.pdf
Amaranth,915-67-3,"C.I. 16185;C.I. Acid Red 27;C.I. Acid Red 27, trisodium salt;C.I. Food Red 9;C.I. Acid Red 27, trisodium salt (8CI);Amaranth;Acid Red 27;amaranth (C.I. 16185);amaranthe;Acid Red 27 (C.I.);trisodium 3-hydroxy-4-(4-sulphonato-1-naphthylazo)naphthalene-2,7-disulphonate;E 123;Amaranth red;trisodium (4Z)-3-oxo-4-[(4-sulfonatonaphthalen-1-yl)hydrazono]-3,4-dihydronaphthalene-2,7-disulfonate;trisodium (4E)-3-oxo-4-[(4-sulfonatonaphthalen-1-yl)hydrazono]-3,4-dihydronaphthalene-2,7-disulfonate;trisodium 3-hydroxy-4-[(E)-(4-sulfonatonaphthalen-1-yl)diazenyl]naphthalene-2,7-disulfonate;acid red 27",https://chemicals.logicwebsites.com/data-sheets/5188.pdf
Hecogenin acetate,915-35-5,"12-oxo-5-alpha-spirostan-3-beta-yl acetate;(3beta,5alpha,25R)-12-oxospirostan-3-yl acetate;12-oxospirostan-3-yl acetate;(5beta,8xi,9xi,10xi,13xi,14xi,16xi,17xi,22xi)-12-oxospirostan-3-yl acetate",https://chemicals.logicwebsites.com/data-sheets/5187.pdf
noscapine hydrochloride hydrate,912-60-7,"Noscapine hydrochloride;Noscapine hydrochloride;1-alpha-Narcotine hydrochloride;CCRIS 8985;Capval;Coscopin hydrochloride;Coscotabs hydrochloride;Difmetus Kapseln;Germose Noscapine;Key-tusscapine hydrochloride;Longatin;Lyobex retard;Methoxyhydrastine hydrochloride;NSC 5366 hydrochloride;Narcompren hydrochloride;Narcosine hydrochloride;Narcotussin;Nectadon hydrochloride;Nipaxon;Noscapine HCl;Opian hydrochloride;Opianine hydrochloride;Stilco;Teletux;Terbenol hydrochloride;Tucotine;Tulisan;Tusscapine;Tussicure P;UNII-TTN62ITH9I;Vadebex hydrochloride;1(3H)-Isobenzofuranone, 6,7-dimethoxy-3-((5R)-5,6,7,8-tetrahydro-4-methoxy-6-methyl-1,3-dioxolo(4,5-g)isoquinolin-5-yl)-, hydrochloride, (3S)-;1(3H)Isobenzofuranone, 6,7-dimethoxy-3-(5,6,7,8-tetrahydro-4-methoxy-6-methyl-1,3-dioxolo(4,5-g)isoquinolin-5-yl)-, hydrochloride, (S-(R*,S*))-;Narcotine, hydrochloride (8CI);(5R)-5-[(1S)-4,5-dimethoxy-3-oxo-1,3-dihydro-2-benzofuran-1-yl]-4-methoxy-6-methyl-5,6,7,8-tetrahydro[1,3]dioxolo[4,5-g]isoquinolin-6-ium chloride;hydrogen chloride 6,7-dimethoxy-3-(4-methoxy-6-methyl-5,6,7,8-tetrahydro[1,3]dioxolo[4,5-g]isoquinolin-5-yl)-2-benzofuran-1(3H)-one (1:1:1);(5R)-5-[(1S)-4,5-dimethoxy-3-oxo-1,3-dihydro-2-benzofuran-1-yl]-4-methoxy-6-methyl-5,6,7,8-tetrahydro[1,3]dioxolo[4,5-g]isoquinolin-6-ium",https://chemicals.logicwebsites.com/data-sheets/5183.pdf
N-α-benzoyl-4'-nitro-DL-argininanilide hydrochloride,911-77-3,N-Benzoyl-Dl-Arginine-4-Nitroanilide Hydrochloride,https://chemicals.logicwebsites.com/data-sheets/5182.pdf
Cholesteryl chloride,910-31-6,"Cholesteryl Chloride, 97%;3-beta-chlorocholest-5-ene;(3beta)-3-chlorocholest-5-ene;Cholesterol chloride;3-chloro-,3.beta.-Cholest-5-ene;Cholest-5-ene, 3beta-chloro-;Cholest-5-ene, 3-chloro-, (3beta)-;Cholest-5-ene,3-chloro,(3β)-;BETA-CHLORO-5-CHOLESTENE;5-CHOLESTEN-3BETA-CHLORIDE",https://chemicals.logicwebsites.com/data-sheets/5178.pdf
"6,7-Bis(benzyloxy)coumarin",909-84-2,"Esculetin dibenzyl ether;6,7-bis(benzyloxy)-2H-chromen-2-one",https://chemicals.logicwebsites.com/data-sheets/5177.pdf
opipramol dihydrochloride,909-39-7,"Opipramol HCL;2-{4-[3-(5H-dibenzo[b,f]azepin-5-yl)propyl]piperazin-1-yl}ethanol;2-{4-[3-(5H-dibenzo[b,f]azepin-5-yl)propyl]piperazin-1-yl}ethanol dihydrochloride",https://chemicals.logicwebsites.com/data-sheets/5176.pdf
diminazene aceturate,908-54-3,"Diiminazene Aceturate;Diminazene diaceturate;N-acetylglycine - 4,4'-(1E)-triaz-1-ene-1,3-diyldibenzenecarboximidamide (1:1);N-acetylglycine - 4-[(1E)-3-(4-carbamimidoylphenyl)triaz-1-en-1-yl]benzenecarboximidamide (2:1);4,4'-(diamino)dibenzamidediaceturate",https://chemicals.logicwebsites.com/data-sheets/5175.pdf
2-(Triphenylphosphoranylidene)succinic anhydride,906-65-0,"3-(triphenyl-lambda~5~-phosphanylidene)dihydrofuran-2,5-dione",https://chemicals.logicwebsites.com/data-sheets/5174.pdf
"[1R-(1α,3α,4α,5β)]-3-[[3-(3,4-dihydroxyphenyl)-1-oxoallyl]oxy]-1,4,5-trihydroxycyclohexanecarboxylic acid",906-33-2,"3-{[3-(3,4-dihydroxyphenyl)acryloyl]oxy}-1,4,5-trihydroxycyclohexanecarboxylic acid;(1R,3R,4S,5R)-3-{[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-1,4,5-trihydroxycyclohexanecarboxylic acid;Neochlorogenic acid",https://chemicals.logicwebsites.com/data-sheets/5173.pdf
"3,3'-diethyloxacarbocyanine iodide",905-96-4,"3,3-Diethyloxacarbocyanine iodide (DiOC2(3));3-ethyl-2-[3-(3-ethyl-1,3-benzoxazol-2(3H)-ylidene)prop-1-en-1-yl]-1,3-benzoxazol-3-ium iodide",https://chemicals.logicwebsites.com/data-sheets/5172.pdf
